Date,Symbol,Type,Value
2019-01-30,AAPL,2,1
2019-05-01,AAPL,2,1
2019-07-31,AAPL,2,1
2019-10-31,AAPL,2,1
2020-01-29,AAPL,2,1
2020-05-01,AAPL,2,1
2020-07-31,AAPL,2,1
2019-01-30,AMGN,2,1
2019-05-01,AMGN,2,1
2019-07-31,AMGN,2,1
2019-10-30,AMGN,2,1
2020-01-31,AMGN,2,1
2020-05-01,AMGN,2,1
2020-07-29,AMGN,2,1
2019-01-18,AXP,2,1
2019-04-18,AXP,2,1
2019-07-19,AXP,2,1
2019-10-18,AXP,2,1
2020-01-24,AXP,2,1
2020-04-24,AXP,2,1
2020-07-24,AXP,2,1
2019-01-30,BA,2,1
2019-04-24,BA,2,1
2019-07-24,BA,2,1
2019-10-23,BA,2,1
2020-01-29,BA,2,1
2020-04-29,BA,2,1
2020-07-29,BA,2,1
2019-01-28,CAT,2,1
2019-04-24,CAT,2,1
2019-07-24,CAT,2,1
2019-10-23,CAT,2,1
2020-01-31,CAT,2,1
2020-04-28,CAT,2,1
2020-07-31,CAT,2,1
2019-03-05,CRM,2,1
2019-06-05,CRM,2,1
2019-08-23,CRM,2,1
2019-12-04,CRM,2,1
2020-02-26,CRM,2,1
2020-05-29,CRM,2,1
2020-08-26,CRM,2,1
2019-02-14,CSCO,2,1
2019-05-16,CSCO,2,1
2019-08-15,CSCO,2,1
2019-11-14,CSCO,2,1
2020-02-13,CSCO,2,1
2020-05-14,CSCO,2,1
2019-02-01,CVX,2,1
2019-04-26,CVX,2,1
2019-08-02,CVX,2,1
2019-11-01,CVX,2,1
2020-01-31,CVX,2,1
2020-05-01,CVX,2,1
2020-07-31,CVX,2,1
2019-02-06,DIS,2,1
2019-08-07,DIS,2,1
2019-11-08,DIS,2,1
2020-02-05,DIS,2,1
2020-05-06,DIS,2,1
2020-08-05,DIS,2,1
2020-01-29,DOW,2,1
2020-04-30,DOW,2,1
2020-07-23,DOW,2,1
2019-01-16,GS,2,1
2019-04-15,GS,2,1
2019-07-16,GS,2,1
2019-10-15,GS,2,1
2020-01-15,GS,2,1
2020-04-15,GS,2,1
2020-07-15,GS,2,1
2019-02-26,HD,2,1
2019-05-21,HD,2,1
